,name,x,y
686,japanese_eggplants,-24.497711,20.93864
687,fusilli,-27.588888,-34.851032
688,sambal_ulek,11.372187,53.334892
689,anchovies,-18.779903,27.511112
690,fresh_herbs,-16.147312,-13.345369
691,pepperoni,-45.371643,-38.42199
692,chicken_liver,64.08708,26.368187
693,anaheim_chile,-63.95485,15.010861
694,edamame,-5.3475475,59.108368
695,kasuri_methi,21.722334,19.732574
696,puff_pastry,6.936703,-34.666306
697,artichok_heart_marin,-31.760172,-23.484003
698,dried_cranberries,31.641054,-33.591278
699,rutabaga,6.496838,-13.370682
700,yellow_peppers,-35.50172,23.514088
701,turbinado,41.221962,-19.53331
702,crushed_ice,44.535564,-5.4990788
703,thai_green_curry_paste,12.548245,40.72076
704,nectarine,60.568108,1.4465591
705,ground_almonds,30.995173,-21.718233
706,wild_mushrooms,-2.118875,-28.012924
707,capsicum,18.6174,24.386005
708,great_northern_beans,-10.176229,-19.582218
709,spanish_chorizo,-6.7310843,-7.487636
710,nonstick_spray,-69.12873,-3.9681149
711,gari,-9.53459,62.221565
712,frozen_spinach,-24.815252,14.281516
713,rocket_leaves,-25.600348,-23.216026
714,bone_oil,63.9056,28.314121
715,salad_greens,-25.170765,-18.328213
716,port_wine,64.162834,26.993048
717,file_powder,-27.113892,1.5918226
718,tapioca_flour,51.556015,-3.0807595
719,_slice,-66.50178,-14.312369
720,duck,4.471618,-21.012423
721,ground_round,-53.340374,-32.85423
722,katsuobushi,55.229156,19.636261
723,alfredo_sauce,-35.933044,-32.63269
724,hot_italian_sausages,-41.833107,-41.58268
725,sour_cherry,65.39702,7.1062202
726,chopped_almonds,27.811756,-36.96024
727,miso,-15.078875,61.16831
728,baby_arugula,-24.920206,-22.65466
729,udon,-7.1307344,51.855797
